UID,Lat,Long_,Combined_Key,Confirmed_cases_01/22/2020,Confirmed_cases_01/23/2020,Confirmed_cases_01/24/2020,Confirmed_cases_01/25/2020,Confirmed_cases_01/26/2020,Confirmed_cases_01/27/2020,Confirmed_cases_01/28/2020,Confirmed_cases_01/29/2020,Confirmed_cases_01/30/2020,Confirmed_cases_01/31/2020,Confirmed_cases_02/01/2020,Confirmed_cases_02/02/2020,Confirmed_cases_02/03/2020,Confirmed_cases_02/04/2020,Confirmed_cases_02/05/2020,Confirmed_cases_02/06/2020,Confirmed_cases_02/07/2020,Confirmed_cases_02/08/2020,Confirmed_cases_02/09/2020,Confirmed_cases_02/10/2020,Confirmed_cases_02/11/2020,Confirmed_cases_02/12/2020,Confirmed_cases_02/13/2020,Confirmed_cases_02/14/2020,Confirmed_cases_02/15/2020,Confirmed_cases_02/16/2020,Confirmed_cases_02/17/2020,Confirmed_cases_02/18/2020,Confirmed_cases_02/19/2020,Confirmed_cases_02/20/2020,Confirmed_cases_02/21/2020,Confirmed_cases_02/22/2020,Confirmed_cases_02/23/2020,Confirmed_cases_02/24/2020,Confirmed_cases_02/25/2020,Confirmed_cases_02/26/2020,Confirmed_cases_02/27/2020,Confirmed_cases_02/28/2020,Confirmed_cases_02/29/2020,Confirmed_cases_03/01/2020,Confirmed_cases_03/02/2020,Confirmed_cases_03/03/2020,Confirmed_cases_03/04/2020,Confirmed_cases_03/05/2020,Confirmed_cases_03/06/2020,Confirmed_cases_03/07/2020,Confirmed_cases_03/08/2020,Confirmed_cases_03/09/2020,Confirmed_cases_03/10/2020,Confirmed_cases_03/11/2020,Confirmed_cases_03/12/2020,Confirmed_cases_03/13/2020,Confirmed_cases_03/14/2020,Confirmed_cases_03/15/2020,Confirmed_cases_03/16/2020,Confirmed_cases_03/17/2020,Confirmed_cases_03/18/2020,Confirmed_cases_03/19/2020,Confirmed_cases_03/20/2020,Confirmed_cases_03/21/2020,Confirmed_cases_03/22/2020,Confirmed_cases_03/23/2020,Confirmed_cases_03/24/2020,Confirmed_cases_03/25/2020,Confirmed_cases_03/26/2020,Confirmed_cases_03/27/2020,Confirmed_cases_03/28/2020,Confirmed_cases_03/29/2020,Confirmed_cases_03/30/2020,Confirmed_cases_03/31/2020,Confirmed_cases_04/01/2020,Deaths_01/22/2020,Deaths_01/23/2020,Deaths_01/24/2020,Deaths_01/25/2020,Deaths_01/26/2020,Deaths_01/27/2020,Deaths_01/28/2020,Deaths_01/29/2020,Deaths_01/30/2020,Deaths_01/31/2020,Deaths_02/01/2020,Deaths_02/02/2020,Deaths_02/03/2020,Deaths_02/04/2020,Deaths_02/05/2020,Deaths_02/06/2020,Deaths_02/07/2020,Deaths_02/08/2020,Deaths_02/09/2020,Deaths_02/10/2020,Deaths_02/11/2020,Deaths_02/12/2020,Deaths_02/13/2020,Deaths_02/14/2020,Deaths_02/15/2020,Deaths_02/16/2020,Deaths_02/17/2020,Deaths_02/18/2020,Deaths_02/19/2020,Deaths_02/20/2020,Deaths_02/21/2020,Deaths_02/22/2020,Deaths_02/23/2020,Deaths_02/24/2020,Deaths_02/25/2020,Deaths_02/26/2020,Deaths_02/27/2020,Deaths_02/28/2020,Deaths_02/29/2020,Deaths_03/01/2020,Deaths_03/02/2020,Deaths_03/03/2020,Deaths_03/04/2020,Deaths_03/05/2020,Deaths_03/06/2020,Deaths_03/07/2020,Deaths_03/08/2020,Deaths_03/09/2020,Deaths_03/10/2020,Deaths_03/11/2020,Deaths_03/12/2020,Deaths_03/13/2020,Deaths_03/14/2020,Deaths_03/15/2020,Deaths_03/16/2020,Deaths_03/17/2020,Deaths_03/18/2020,Deaths_03/19/2020,Deaths_03/20/2020,Deaths_03/21/2020,Deaths_03/22/2020,Deaths_03/23/2020,Deaths_03/24/2020,Deaths_03/25/2020,Deaths_03/26/2020,Deaths_03/27/2020,Deaths_03/28/2020,Deaths_03/29/2020,Deaths_03/30/2020,Deaths_03/31/2020,Deaths_04/01/2020
16,-14.271,-170.132,"American Samoa, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,13.4443,144.7937,"Guam, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,12,14,15,27,29,32,37,45,51,55,56,58,69,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,3
580,15.0979,145.6739,"Northern Mariana Islands, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
630,18.2208,-66.5901,"Puerto Rico, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,14,21,23,31,39,51,64,79,100,127,174,239,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,3,3,6,8,11
850,18.3358,-64.8963,"Virgin Islands, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,6,6,7,17,17,17,19,22,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84001001,32.53952745,-86.64408227,"Autauga, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,6,6,6,6,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84001003,30.72774991,-87.72207058,"Baldwin, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,3,4,4,5,5,10,15,18,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
84001005,31.868263,-85.3871286,"Barbour, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84001007,32.99642064,-87.1251146,"Bibb, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84001009,33.98210918,-86.56790593,"Blount, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
